Jurisdiction,Year,IPCC_cat_code,Product,tax_dummy,ets_dummy,tax_rate_excl_ex_clcu,tax_ex_rate,ets_price
Cameroon,1996,2H2,,,,,,
Cameroon,1996,2H3,,,,,,
Cameroon,1996,3,,,,,,
Cameroon,1996,3A,,,,,,
Cameroon,1996,3A1,,,,,,
Cameroon,1996,3A2,,,,,,
Cameroon,1996,3B,,,,,,
Cameroon,1996,3B1,,,,,,
Cameroon,1996,3B1A,,,,,,
Cameroon,1996,3B1B,,,,,,
Cameroon,1996,3B2,,,,,,
Cameroon,1996,3B2A,,,,,,
Cameroon,1996,3B2B,,,,,,
Cameroon,1996,3B3,,,,,,
Cameroon,1996,3B3A,,,,,,
Cameroon,1996,3B3B,,,,,,
Cameroon,1996,3B4,,,,,,
Cameroon,1996,3B4A,,,,,,
Cameroon,1996,3B4B,,,,,,
Cameroon,1996,3B5,,,,,,
Cameroon,1996,3B5A,,,,,,
Cameroon,1996,3B5B,,,,,,
Cameroon,1996,3B6,,,,,,
Cameroon,1996,3B6A,,,,,,
Cameroon,1996,3B6B,,,,,,
Cameroon,1996,3B6B1,,,,,,
Cameroon,1996,3B6B2,,,,,,
Cameroon,1996,3B6B3,,,,,,
Cameroon,1996,3B6B4,,,,,,
Cameroon,1996,3B6B5,,,,,,
Cameroon,1996,3C,,,,,,
Cameroon,1996,3C1,,,,,,
Cameroon,1996,3C2,,,,,,
Cameroon,1996,3C3,,,,,,
Cameroon,1996,3C4,,,,,,
Cameroon,1996,3C5,,,,,,
Cameroon,1996,3C6,,,,,,
Cameroon,1996,3C7,,,,,,
Cameroon,1996,3C8,,,,,,
Cameroon,1996,3D,,,,,,
Cameroon,1996,3D1,,,,,,
Cameroon,1996,3D2,,,,,,
Cameroon,1996,4,,,,,,
Cameroon,1996,4A,,,,,,
Cameroon,1996,4A1,,,,,,
Cameroon,1996,4A2,,,,,,
Cameroon,1996,4A3,,,,,,
Cameroon,1996,4B,,,,,,
Cameroon,1996,4C,,,,,,
Cameroon,1996,4C1,,,,,,
Cameroon,1996,4C2,,,,,,
Cameroon,1996,4D,,,,,,
Cameroon,1996,4D1,,,,,,
Cameroon,1996,4D2,,,,,,
Cameroon,1996,4E,,,,,,
Cameroon,1996,5,,,,,,
Cameroon,1996,5A,,,,,,
Cameroon,1996,5A1,,,,,,
Cameroon,1996,5A2,,,,,,
Cameroon,1997,0,,,,,,
Cameroon,1997,1,,,,,,
Cameroon,1997,1A,Coal/peat,,,,,
Cameroon,1997,1A,Natural gas,,,,,
Cameroon,1997,1A,Oil,,,,,
Cameroon,1997,1A1,Coal/peat,,,,,
Cameroon,1997,1A1,Natural gas,,,,,
Cameroon,1997,1A1,Oil,,,,,
Cameroon,1997,1A1A,Coal/peat,,,,,
Cameroon,1997,1A1A,Natural gas,,,,,
Cameroon,1997,1A1A,Oil,,,,,
Cameroon,1997,1A1A1,Coal/peat,,,,,
Cameroon,1997,1A1A1,Natural gas,,,,,
Cameroon,1997,1A1A1,Oil,,,,,
Cameroon,1997,1A1A2,Coal/peat,,,,,
Cameroon,1997,1A1A2,Natural gas,,,,,
Cameroon,1997,1A1A2,Oil,,,,,
Cameroon,1997,1A1A3,Coal/peat,,,,,
Cameroon,1997,1A1A3,Natural gas,,,,,
Cameroon,1997,1A1A3,Oil,,,,,
Cameroon,1997,1A1B,Coal/peat,,,,,
Cameroon,1997,1A1B,Natural gas,,,,,
Cameroon,1997,1A1B,Oil,,,,,
Cameroon,1997,1A1C,Coal/peat,,,,,
Cameroon,1997,1A1C,Natural gas,,,,,
Cameroon,1997,1A1C,Oil,,,,,
Cameroon,1997,1A2,Coal/peat,,,,,
Cameroon,1997,1A2,Natural gas,,,,,
Cameroon,1997,1A2,Oil,,,,,
Cameroon,1997,1A2A,Coal/peat,,,,,
Cameroon,1997,1A2A,Natural gas,,,,,
Cameroon,1997,1A2A,Oil,,,,,
Cameroon,1997,1A2B,Coal/peat,,,,,
Cameroon,1997,1A2B,Natural gas,,,,,
Cameroon,1997,1A2B,Oil,,,,,
Cameroon,1997,1A2C,Coal/peat,,,,,
Cameroon,1997,1A2C,Natural gas,,,,,
Cameroon,1997,1A2C,Oil,,,,,
Cameroon,1997,1A2D,Coal/peat,,,,,
Cameroon,1997,1A2D,Natural gas,,,,,
Cameroon,1997,1A2D,Oil,,,,,
Cameroon,1997,1A2E,Coal/peat,,,,,
Cameroon,1997,1A2E,Natural gas,,,,,
Cameroon,1997,1A2E,Oil,,,,,
Cameroon,1997,1A2F,Coal/peat,,,,,
Cameroon,1997,1A2F,Natural gas,,,,,
Cameroon,1997,1A2F,Oil,,,,,
Cameroon,1997,1A2G,Coal/peat,,,,,
Cameroon,1997,1A2G,Natural gas,,,,,
Cameroon,1997,1A2G,Oil,,,,,
Cameroon,1997,1A2H,Coal/peat,,,,,
Cameroon,1997,1A2H,Natural gas,,,,,
Cameroon,1997,1A2H,Oil,,,,,
Cameroon,1997,1A2I,Coal/peat,,,,,
Cameroon,1997,1A2I,Natural gas,,,,,
Cameroon,1997,1A2I,Oil,,,,,
Cameroon,1997,1A2J,Coal/peat,,,,,
Cameroon,1997,1A2J,Natural gas,,,,,
Cameroon,1997,1A2J,Oil,,,,,
Cameroon,1997,1A2K,Coal/peat,,,,,
Cameroon,1997,1A2K,Natural gas,,,,,
Cameroon,1997,1A2K,Oil,,,,,
Cameroon,1997,1A2L,Coal/peat,,,,,
Cameroon,1997,1A2L,Natural gas,,,,,
Cameroon,1997,1A2L,Oil,,,,,
Cameroon,1997,1A2M,Coal/peat,,,,,
Cameroon,1997,1A2M,Natural gas,,,,,
Cameroon,1997,1A2M,Oil,,,,,
Cameroon,1997,1A3,Coal/peat,,,,,
Cameroon,1997,1A3,Natural gas,,,,,
Cameroon,1997,1A3,Oil,,,,,
Cameroon,1997,1A3A,Coal/peat,,,,,
Cameroon,1997,1A3A,Natural gas,,,,,
Cameroon,1997,1A3A,Oil,,,,,
Cameroon,1997,1A3A1,Coal/peat,,,,,
Cameroon,1997,1A3A1,Natural gas,,,,,
Cameroon,1997,1A3A1,Oil,,,,,
Cameroon,1997,1A3A2,Coal/peat,,,,,
Cameroon,1997,1A3A2,Natural gas,,,,,
Cameroon,1997,1A3A2,Oil,,,,,
Cameroon,1997,1A3B,Coal/peat,,,,,
Cameroon,1997,1A3B,Natural gas,,,,,
Cameroon,1997,1A3B,Oil,,,,,
Cameroon,1997,1A3C,Coal/peat,,,,,
Cameroon,1997,1A3C,Natural gas,,,,,
Cameroon,1997,1A3C,Oil,,,,,
Cameroon,1997,1A3D,Coal/peat,,,,,
Cameroon,1997,1A3D,Natural gas,,,,,
Cameroon,1997,1A3D,Oil,,,,,
Cameroon,1997,1A3D1,Coal/peat,,,,,
Cameroon,1997,1A3D1,Natural gas,,,,,
Cameroon,1997,1A3D1,Oil,,,,,
Cameroon,1997,1A3D2,Coal/peat,,,,,
Cameroon,1997,1A3D2,Natural gas,,,,,
Cameroon,1997,1A3D2,Oil,,,,,
Cameroon,1997,1A3E,Coal/peat,,,,,
Cameroon,1997,1A3E,Natural gas,,,,,
Cameroon,1997,1A3E,Oil,,,,,
Cameroon,1997,1A3E1,Coal/peat,,,,,
Cameroon,1997,1A3E1,Natural gas,,,,,
Cameroon,1997,1A3E1,Oil,,,,,
Cameroon,1997,1A4,Coal/peat,,,,,
Cameroon,1997,1A4,Natural gas,,,,,
Cameroon,1997,1A4,Oil,,,,,
Cameroon,1997,1A4A,Coal/peat,,,,,
Cameroon,1997,1A4A,Natural gas,,,,,
Cameroon,1997,1A4A,Oil,,,,,
Cameroon,1997,1A4B,Coal/peat,,,,,
Cameroon,1997,1A4B,Natural gas,,,,,
Cameroon,1997,1A4B,Oil,,,,,
Cameroon,1997,1A4C,Coal/peat,,,,,
Cameroon,1997,1A4C,Natural gas,,,,,
Cameroon,1997,1A4C,Oil,,,,,
Cameroon,1997,1A4C1,Coal/peat,,,,,
Cameroon,1997,1A4C1,Natural gas,,,,,
Cameroon,1997,1A4C1,Oil,,,,,
Cameroon,1997,1A4C2,Coal/peat,,,,,
Cameroon,1997,1A4C2,Natural gas,,,,,
Cameroon,1997,1A4C2,Oil,,,,,
Cameroon,1997,1A4C3,Coal/peat,,,,,
Cameroon,1997,1A4C3,Natural gas,,,,,
Cameroon,1997,1A4C3,Oil,,,,,
Cameroon,1997,1A5,Coal/peat,,,,,
Cameroon,1997,1A5,Natural gas,,,,,
Cameroon,1997,1A5,Oil,,,,,
Cameroon,1997,1A5A,Coal/peat,,,,,
Cameroon,1997,1A5A,Natural gas,,,,,
Cameroon,1997,1A5A,Oil,,,,,
Cameroon,1997,1A5B,Coal/peat,,,,,
Cameroon,1997,1A5B,Natural gas,,,,,
Cameroon,1997,1A5B,Oil,,,,,
Cameroon,1997,1A5C,Coal/peat,,,,,
Cameroon,1997,1A5C,Natural gas,,,,,
Cameroon,1997,1A5C,Oil,,,,,
Cameroon,1997,1B,,,,,,
Cameroon,1997,1B1,,,,,,
Cameroon,1997,1B1A,,,,,,
Cameroon,1997,1B1A1,,,,,,
Cameroon,1997,1B1A11,,,,,,
Cameroon,1997,1B1A12,,,,,,
Cameroon,1997,1B1A13,,,,,,
Cameroon,1997,1B1A14,,,,,,
Cameroon,1997,1B1A2,,,,,,
Cameroon,1997,1B1A21,,,,,,
Cameroon,1997,1B1A22,,,,,,
Cameroon,1997,1B1B,,,,,,
Cameroon,1997,1B2,,,,,,
Cameroon,1997,1B2A,,,,,,
Cameroon,1997,1B2A1,,,,,,
Cameroon,1997,1B2A2,,,,,,
Cameroon,1997,1B2A3,,,,,,
Cameroon,1997,1B2A31,,,,,,
Cameroon,1997,1B2A32,,,,,,
Cameroon,1997,1B2A33,,,,,,
Cameroon,1997,1B2A34,,,,,,
Cameroon,1997,1B2A35,,,,,,
Cameroon,1997,1B2A36,,,,,,
Cameroon,1997,1B2B,,,,,,
Cameroon,1997,1B2B1,,,,,,
Cameroon,1997,1B2B2,,,,,,
Cameroon,1997,1B2B3,,,,,,
Cameroon,1997,1B2B31,,,,,,
Cameroon,1997,1B2B32,,,,,,
Cameroon,1997,1B2B33,,,,,,
Cameroon,1997,1B2B34,,,,,,
Cameroon,1997,1B2B35,,,,,,
Cameroon,1997,1B2B36,,,,,,
Cameroon,1997,1B3,,,,,,
Cameroon,1997,1C,,,,,,
Cameroon,1997,1C1,,,,,,
Cameroon,1997,1C1A,,,,,,
Cameroon,1997,1C1B,,,,,,
Cameroon,1997,1C1C,,,,,,
Cameroon,1997,1C2,,,,,,
Cameroon,1997,1C2A,,,,,,
Cameroon,1997,1C2B,,,,,,
Cameroon,1997,1C3,,,,,,
Cameroon,1997,2,,,,,,
Cameroon,1997,20,,,,,,
Cameroon,1997,200,,,,,,
Cameroon,1997,2000,,,,,,
Cameroon,1997,20000,,,,,,
Cameroon,1997,200000,,,,,,
Cameroon,1997,2A,,,,,,
Cameroon,1997,2A1,,,,,,
Cameroon,1997,2A2,,,,,,
Cameroon,1997,2A3,,,,,,
Cameroon,1997,2A4,,,,,,
Cameroon,1997,2A4A,,,,,,
Cameroon,1997,2A4B,,,,,,
Cameroon,1997,2A4C,,,,,,
Cameroon,1997,2A4D,,,,,,
Cameroon,1997,2B,,,,,,
Cameroon,1997,2B1,,,,,,
Cameroon,1997,2B10,,,,,,
Cameroon,1997,2B2,,,,,,
Cameroon,1997,2B3,,,,,,
Cameroon,1997,2B4,,,,,,
Cameroon,1997,2B5,,,,,,
Cameroon,1997,2B6,,,,,,
Cameroon,1997,2B7,,,,,,
Cameroon,1997,2B8,,,,,,
Cameroon,1997,2B8A,,,,,,
Cameroon,1997,2B8B,,,,,,
Cameroon,1997,2B8C,,,,,,
Cameroon,1997,2B8D,,,,,,
Cameroon,1997,2B8E,,,,,,
Cameroon,1997,2B8F,,,,,,
Cameroon,1997,2B9,,,,,,
Cameroon,1997,2B9A,,,,,,
Cameroon,1997,2B9B,,,,,,
Cameroon,1997,2C,,,,,,
Cameroon,1997,2C1,,,,,,
Cameroon,1997,2C2,,,,,,
Cameroon,1997,2C3,,,,,,
Cameroon,1997,2C4,,,,,,
Cameroon,1997,2C5,,,,,,
Cameroon,1997,2C6,,,,,,
Cameroon,1997,2C7,,,,,,
Cameroon,1997,2D,,,,,,
Cameroon,1997,2D1,,,,,,
Cameroon,1997,2D2,,,,,,
Cameroon,1997,2D3,,,,,,
Cameroon,1997,2D4,,,,,,
Cameroon,1997,2E,,,,,,
Cameroon,1997,2F,,,,,,
Cameroon,1997,2F1,,,,,,
Cameroon,1997,2F2,,,,,,
Cameroon,1997,2F3,,,,,,
Cameroon,1997,2F4,,,,,,
Cameroon,1997,2F5,,,,,,
Cameroon,1997,2F6,,,,,,
Cameroon,1997,2G,,,,,,
Cameroon,1997,2G1,,,,,,
Cameroon,1997,2G2,,,,,,
Cameroon,1997,2G3,,,,,,
Cameroon,1997,2G4,,,,,,
Cameroon,1997,2H,,,,,,
Cameroon,1997,2H1,,,,,,
Cameroon,1997,2H2,,,,,,
Cameroon,1997,2H3,,,,,,
Cameroon,1997,3,,,,,,
Cameroon,1997,3A,,,,,,
Cameroon,1997,3A1,,,,,,
Cameroon,1997,3A2,,,,,,
Cameroon,1997,3B,,,,,,
Cameroon,1997,3B1,,,,,,
Cameroon,1997,3B1A,,,,,,
Cameroon,1997,3B1B,,,,,,
Cameroon,1997,3B2,,,,,,
Cameroon,1997,3B2A,,,,,,
Cameroon,1997,3B2B,,,,,,
Cameroon,1997,3B3,,,,,,
Cameroon,1997,3B3A,,,,,,
Cameroon,1997,3B3B,,,,,,
Cameroon,1997,3B4,,,,,,
Cameroon,1997,3B4A,,,,,,
Cameroon,1997,3B4B,,,,,,
Cameroon,1997,3B5,,,,,,
Cameroon,1997,3B5A,,,,,,
Cameroon,1997,3B5B,,,,,,
Cameroon,1997,3B6,,,,,,
Cameroon,1997,3B6A,,,,,,
Cameroon,1997,3B6B,,,,,,
Cameroon,1997,3B6B1,,,,,,
Cameroon,1997,3B6B2,,,,,,
Cameroon,1997,3B6B3,,,,,,
Cameroon,1997,3B6B4,,,,,,
Cameroon,1997,3B6B5,,,,,,
Cameroon,1997,3C,,,,,,
Cameroon,1997,3C1,,,,,,
Cameroon,1997,3C2,,,,,,
Cameroon,1997,3C3,,,,,,
Cameroon,1997,3C4,,,,,,
Cameroon,1997,3C5,,,,,,
Cameroon,1997,3C6,,,,,,
Cameroon,1997,3C7,,,,,,
Cameroon,1997,3C8,,,,,,
Cameroon,1997,3D,,,,,,
Cameroon,1997,3D1,,,,,,
Cameroon,1997,3D2,,,,,,
Cameroon,1997,4,,,,,,
Cameroon,1997,4A,,,,,,
Cameroon,1997,4A1,,,,,,
Cameroon,1997,4A2,,,,,,
Cameroon,1997,4A3,,,,,,
Cameroon,1997,4B,,,,,,
Cameroon,1997,4C,,,,,,
Cameroon,1997,4C1,,,,,,
Cameroon,1997,4C2,,,,,,
Cameroon,1997,4D,,,,,,
Cameroon,1997,4D1,,,,,,
Cameroon,1997,4D2,,,,,,
Cameroon,1997,4E,,,,,,
Cameroon,1997,5,,,,,,
Cameroon,1997,5A,,,,,,
Cameroon,1997,5A1,,,,,,
Cameroon,1997,5A2,,,,,,
Cameroon,1998,0,,,,,,
Cameroon,1998,1,,,,,,
Cameroon,1998,1A,Coal/peat,,,,,
Cameroon,1998,1A,Natural gas,,,,,
Cameroon,1998,1A,Oil,,,,,
Cameroon,1998,1A1,Coal/peat,,,,,
Cameroon,1998,1A1,Natural gas,,,,,
Cameroon,1998,1A1,Oil,,,,,
Cameroon,1998,1A1A,Coal/peat,,,,,
Cameroon,1998,1A1A,Natural gas,,,,,
Cameroon,1998,1A1A,Oil,,,,,
Cameroon,1998,1A1A1,Coal/peat,,,,,
Cameroon,1998,1A1A1,Natural gas,,,,,
Cameroon,1998,1A1A1,Oil,,,,,
Cameroon,1998,1A1A2,Coal/peat,,,,,
Cameroon,1998,1A1A2,Natural gas,,,,,
Cameroon,1998,1A1A2,Oil,,,,,
Cameroon,1998,1A1A3,Coal/peat,,,,,
Cameroon,1998,1A1A3,Natural gas,,,,,
Cameroon,1998,1A1A3,Oil,,,,,
Cameroon,1998,1A1B,Coal/peat,,,,,
Cameroon,1998,1A1B,Natural gas,,,,,
Cameroon,1998,1A1B,Oil,,,,,
Cameroon,1998,1A1C,Coal/peat,,,,,
Cameroon,1998,1A1C,Natural gas,,,,,
Cameroon,1998,1A1C,Oil,,,,,
Cameroon,1998,1A2,Coal/peat,,,,,
Cameroon,1998,1A2,Natural gas,,,,,
Cameroon,1998,1A2,Oil,,,,,
Cameroon,1998,1A2A,Coal/peat,,,,,
Cameroon,1998,1A2A,Natural gas,,,,,
Cameroon,1998,1A2A,Oil,,,,,
Cameroon,1998,1A2B,Coal/peat,,,,,
Cameroon,1998,1A2B,Natural gas,,,,,
Cameroon,1998,1A2B,Oil,,,,,
Cameroon,1998,1A2C,Coal/peat,,,,,
Cameroon,1998,1A2C,Natural gas,,,,,
Cameroon,1998,1A2C,Oil,,,,,
Cameroon,1998,1A2D,Coal/peat,,,,,
Cameroon,1998,1A2D,Natural gas,,,,,
Cameroon,1998,1A2D,Oil,,,,,
Cameroon,1998,1A2E,Coal/peat,,,,,
Cameroon,1998,1A2E,Natural gas,,,,,
Cameroon,1998,1A2E,Oil,,,,,
Cameroon,1998,1A2F,Coal/peat,,,,,
Cameroon,1998,1A2F,Natural gas,,,,,
Cameroon,1998,1A2F,Oil,,,,,
Cameroon,1998,1A2G,Coal/peat,,,,,
Cameroon,1998,1A2G,Natural gas,,,,,
Cameroon,1998,1A2G,Oil,,,,,
Cameroon,1998,1A2H,Coal/peat,,,,,
Cameroon,1998,1A2H,Natural gas,,,,,
Cameroon,1998,1A2H,Oil,,,,,
Cameroon,1998,1A2I,Coal/peat,,,,,
Cameroon,1998,1A2I,Natural gas,,,,,
Cameroon,1998,1A2I,Oil,,,,,
Cameroon,1998,1A2J,Coal/peat,,,,,
Cameroon,1998,1A2J,Natural gas,,,,,
Cameroon,1998,1A2J,Oil,,,,,
Cameroon,1998,1A2K,Coal/peat,,,,,
Cameroon,1998,1A2K,Natural gas,,,,,
Cameroon,1998,1A2K,Oil,,,,,
Cameroon,1998,1A2L,Coal/peat,,,,,
Cameroon,1998,1A2L,Natural gas,,,,,
Cameroon,1998,1A2L,Oil,,,,,
Cameroon,1998,1A2M,Coal/peat,,,,,
Cameroon,1998,1A2M,Natural gas,,,,,
Cameroon,1998,1A2M,Oil,,,,,
Cameroon,1998,1A3,Coal/peat,,,,,
Cameroon,1998,1A3,Natural gas,,,,,
Cameroon,1998,1A3,Oil,,,,,
Cameroon,1998,1A3A,Coal/peat,,,,,
Cameroon,1998,1A3A,Natural gas,,,,,
Cameroon,1998,1A3A,Oil,,,,,
Cameroon,1998,1A3A1,Coal/peat,,,,,
Cameroon,1998,1A3A1,Natural gas,,,,,
Cameroon,1998,1A3A1,Oil,,,,,
Cameroon,1998,1A3A2,Coal/peat,,,,,
Cameroon,1998,1A3A2,Natural gas,,,,,
Cameroon,1998,1A3A2,Oil,,,,,
Cameroon,1998,1A3B,Coal/peat,,,,,
Cameroon,1998,1A3B,Natural gas,,,,,
Cameroon,1998,1A3B,Oil,,,,,
Cameroon,1998,1A3C,Coal/peat,,,,,
Cameroon,1998,1A3C,Natural gas,,,,,
Cameroon,1998,1A3C,Oil,,,,,
Cameroon,1998,1A3D,Coal/peat,,,,,
Cameroon,1998,1A3D,Natural gas,,,,,
Cameroon,1998,1A3D,Oil,,,,,
Cameroon,1998,1A3D1,Coal/peat,,,,,
Cameroon,1998,1A3D1,Natural gas,,,,,
Cameroon,1998,1A3D1,Oil,,,,,
Cameroon,1998,1A3D2,Coal/peat,,,,,
Cameroon,1998,1A3D2,Natural gas,,,,,
Cameroon,1998,1A3D2,Oil,,,,,
Cameroon,1998,1A3E,Coal/peat,,,,,
Cameroon,1998,1A3E,Natural gas,,,,,
Cameroon,1998,1A3E,Oil,,,,,
Cameroon,1998,1A3E1,Coal/peat,,,,,
Cameroon,1998,1A3E1,Natural gas,,,,,
Cameroon,1998,1A3E1,Oil,,,,,
Cameroon,1998,1A4,Coal/peat,,,,,
Cameroon,1998,1A4,Natural gas,,,,,
Cameroon,1998,1A4,Oil,,,,,
Cameroon,1998,1A4A,Coal/peat,,,,,
Cameroon,1998,1A4A,Natural gas,,,,,
Cameroon,1998,1A4A,Oil,,,,,
Cameroon,1998,1A4B,Coal/peat,,,,,
Cameroon,1998,1A4B,Natural gas,,,,,
Cameroon,1998,1A4B,Oil,,,,,
Cameroon,1998,1A4C,Coal/peat,,,,,
Cameroon,1998,1A4C,Natural gas,,,,,
Cameroon,1998,1A4C,Oil,,,,,
Cameroon,1998,1A4C1,Coal/peat,,,,,
Cameroon,1998,1A4C1,Natural gas,,,,,
Cameroon,1998,1A4C1,Oil,,,,,
Cameroon,1998,1A4C2,Coal/peat,,,,,
Cameroon,1998,1A4C2,Natural gas,,,,,
Cameroon,1998,1A4C2,Oil,,,,,
Cameroon,1998,1A4C3,Coal/peat,,,,,
Cameroon,1998,1A4C3,Natural gas,,,,,
Cameroon,1998,1A4C3,Oil,,,,,
Cameroon,1998,1A5,Coal/peat,,,,,
Cameroon,1998,1A5,Natural gas,,,,,
Cameroon,1998,1A5,Oil,,,,,
Cameroon,1998,1A5A,Coal/peat,,,,,
Cameroon,1998,1A5A,Natural gas,,,,,
Cameroon,1998,1A5A,Oil,,,,,
Cameroon,1998,1A5B,Coal/peat,,,,,
Cameroon,1998,1A5B,Natural gas,,,,,
Cameroon,1998,1A5B,Oil,,,,,
Cameroon,1998,1A5C,Coal/peat,,,,,
Cameroon,1998,1A5C,Natural gas,,,,,
Cameroon,1998,1A5C,Oil,,,,,
Cameroon,1998,1B,,,,,,
Cameroon,1998,1B1,,,,,,
Cameroon,1998,1B1A,,,,,,
Cameroon,1998,1B1A1,,,,,,
Cameroon,1998,1B1A11,,,,,,
Cameroon,1998,1B1A12,,,,,,
Cameroon,1998,1B1A13,,,,,,
Cameroon,1998,1B1A14,,,,,,
Cameroon,1998,1B1A2,,,,,,
Cameroon,1998,1B1A21,,,,,,
Cameroon,1998,1B1A22,,,,,,
Cameroon,1998,1B1B,,,,,,
Cameroon,1998,1B2,,,,,,
Cameroon,1998,1B2A,,,,,,
Cameroon,1998,1B2A1,,,,,,
Cameroon,1998,1B2A2,,,,,,
Cameroon,1998,1B2A3,,,,,,
Cameroon,1998,1B2A31,,,,,,
Cameroon,1998,1B2A32,,,,,,
Cameroon,1998,1B2A33,,,,,,
Cameroon,1998,1B2A34,,,,,,
Cameroon,1998,1B2A35,,,,,,
Cameroon,1998,1B2A36,,,,,,
Cameroon,1998,1B2B,,,,,,
Cameroon,1998,1B2B1,,,,,,
Cameroon,1998,1B2B2,,,,,,
Cameroon,1998,1B2B3,,,,,,
Cameroon,1998,1B2B31,,,,,,
Cameroon,1998,1B2B32,,,,,,
Cameroon,1998,1B2B33,,,,,,
Cameroon,1998,1B2B34,,,,,,
Cameroon,1998,1B2B35,,,,,,
Cameroon,1998,1B2B36,,,,,,
Cameroon,1998,1B3,,,,,,
Cameroon,1998,1C,,,,,,
Cameroon,1998,1C1,,,,,,
Cameroon,1998,1C1A,,,,,,
Cameroon,1998,1C1B,,,,,,
Cameroon,1998,1C1C,,,,,,
Cameroon,1998,1C2,,,,,,
Cameroon,1998,1C2A,,,,,,
Cameroon,1998,1C2B,,,,,,
Cameroon,1998,1C3,,,,,,
Cameroon,1998,2,,,,,,
Cameroon,1998,20,,,,,,
Cameroon,1998,200,,,,,,
Cameroon,1998,2000,,,,,,
Cameroon,1998,20000,,,,,,
Cameroon,1998,200000,,,,,,
Cameroon,1998,2A,,,,,,
Cameroon,1998,2A1,,,,,,
Cameroon,1998,2A2,,,,,,
Cameroon,1998,2A3,,,,,,
Cameroon,1998,2A4,,,,,,
Cameroon,1998,2A4A,,,,,,
Cameroon,1998,2A4B,,,,,,
Cameroon,1998,2A4C,,,,,,
Cameroon,1998,2A4D,,,,,,
Cameroon,1998,2B,,,,,,
Cameroon,1998,2B1,,,,,,
Cameroon,1998,2B10,,,,,,
Cameroon,1998,2B2,,,,,,
Cameroon,1998,2B3,,,,,,
Cameroon,1998,2B4,,,,,,
Cameroon,1998,2B5,,,,,,
Cameroon,1998,2B6,,,,,,
Cameroon,1998,2B7,,,,,,
Cameroon,1998,2B8,,,,,,
Cameroon,1998,2B8A,,,,,,
Cameroon,1998,2B8B,,,,,,
Cameroon,1998,2B8C,,,,,,
Cameroon,1998,2B8D,,,,,,
Cameroon,1998,2B8E,,,,,,
Cameroon,1998,2B8F,,,,,,
Cameroon,1998,2B9,,,,,,
Cameroon,1998,2B9A,,,,,,
Cameroon,1998,2B9B,,,,,,
Cameroon,1998,2C,,,,,,
Cameroon,1998,2C1,,,,,,
Cameroon,1998,2C2,,,,,,
Cameroon,1998,2C3,,,,,,
Cameroon,1998,2C4,,,,,,
Cameroon,1998,2C5,,,,,,
Cameroon,1998,2C6,,,,,,
Cameroon,1998,2C7,,,,,,
Cameroon,1998,2D,,,,,,
Cameroon,1998,2D1,,,,,,
Cameroon,1998,2D2,,,,,,
Cameroon,1998,2D3,,,,,,
Cameroon,1998,2D4,,,,,,
Cameroon,1998,2E,,,,,,
Cameroon,1998,2F,,,,,,
Cameroon,1998,2F1,,,,,,
Cameroon,1998,2F2,,,,,,
Cameroon,1998,2F3,,,,,,
Cameroon,1998,2F4,,,,,,
Cameroon,1998,2F5,,,,,,
Cameroon,1998,2F6,,,,,,
Cameroon,1998,2G,,,,,,
Cameroon,1998,2G1,,,,,,
Cameroon,1998,2G2,,,,,,
Cameroon,1998,2G3,,,,,,
Cameroon,1998,2G4,,,,,,
Cameroon,1998,2H,,,,,,
Cameroon,1998,2H1,,,,,,
Cameroon,1998,2H2,,,,,,
Cameroon,1998,2H3,,,,,,
Cameroon,1998,3,,,,,,
Cameroon,1998,3A,,,,,,
Cameroon,1998,3A1,,,,,,
Cameroon,1998,3A2,,,,,,
Cameroon,1998,3B,,,,,,
Cameroon,1998,3B1,,,,,,
Cameroon,1998,3B1A,,,,,,
Cameroon,1998,3B1B,,,,,,
Cameroon,1998,3B2,,,,,,
Cameroon,1998,3B2A,,,,,,
Cameroon,1998,3B2B,,,,,,
Cameroon,1998,3B3,,,,,,
Cameroon,1998,3B3A,,,,,,
Cameroon,1998,3B3B,,,,,,
Cameroon,1998,3B4,,,,,,
Cameroon,1998,3B4A,,,,,,
Cameroon,1998,3B4B,,,,,,
Cameroon,1998,3B5,,,,,,
Cameroon,1998,3B5A,,,,,,
Cameroon,1998,3B5B,,,,,,
Cameroon,1998,3B6,,,,,,
Cameroon,1998,3B6A,,,,,,
Cameroon,1998,3B6B,,,,,,
Cameroon,1998,3B6B1,,,,,,
Cameroon,1998,3B6B2,,,,,,
Cameroon,1998,3B6B3,,,,,,
Cameroon,1998,3B6B4,,,,,,
Cameroon,1998,3B6B5,,,,,,
Cameroon,1998,3C,,,,,,
Cameroon,1998,3C1,,,,,,
Cameroon,1998,3C2,,,,,,
Cameroon,1998,3C3,,,,,,
Cameroon,1998,3C4,,,,,,
Cameroon,1998,3C5,,,,,,
Cameroon,1998,3C6,,,,,,
Cameroon,1998,3C7,,,,,,
Cameroon,1998,3C8,,,,,,
Cameroon,1998,3D,,,,,,
Cameroon,1998,3D1,,,,,,
Cameroon,1998,3D2,,,,,,
Cameroon,1998,4,,,,,,
Cameroon,1998,4A,,,,,,
Cameroon,1998,4A1,,,,,,
Cameroon,1998,4A2,,,,,,
Cameroon,1998,4A3,,,,,,
Cameroon,1998,4B,,,,,,
Cameroon,1998,4C,,,,,,
Cameroon,1998,4C1,,,,,,
